'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'978';'CRS3035RES200mN2052400E4256000';'LAEA200M_N10262E21280';'9.22373';'41.5704';'9.22612';'41.5704';'9.22610';'41.5722';'9.22371';'41.5722';'445750-4090';'445750-4004';'445750-3955';'445750-4042';'445750'
'982';'CRS3035RES200mN2052600E4233400';'LAEA200M_N10263E21167';'8.95383';'41.5698';'8.95621';'41.5698';'8.95618';'41.5716';'8.95380';'41.5716';'1676337-2181';'1676337-2172';'1676337-2072';'1676337-2082';'1676337'
'983';'CRS3035RES200mN2052600E4251000';'LAEA200M_N10263E21255';'9.16400';'41.5717';'9.16639';'41.5718';'9.16636';'41.5736';'9.16398';'41.5736';'666487-304';'666487-402';'666487-435';'666487-349';'1828622-666487'
'984';'CRS3035RES200mN2052600E4251200';'LAEA200M_N10263E21256';'9.16639';'41.5718';'9.16878';'41.5718';'9.16875';'41.5736';'9.16636';'41.5736';'666487-498';'666487-596';'666487-618';'666487-525';'1828622-666487'
'988';'CRS3035RES200mN2052600E4254800';'LAEA200M_N10263E21274';'9.20938';'41.5721';'9.21177';'41.5721';'9.21175';'41.5739';'9.20936';'41.5739';'666487-4068';'666487-4167';'666487-4171';'666487-4071';'1828622-666487'
'989';'CRS3035RES200mN2052600E4255000';'LAEA200M_N10263E21275';'9.21177';'41.5721';'9.21416';'41.5722';'9.21413';'41.5740';'9.21175';'41.5739';'666487-4267';'666487-4366';'666487-4369';'666487-4270';'1828622-666487'
'990';'CRS3035RES200mN2052600E4255200';'LAEA200M_N10263E21276';'9.21416';'41.5722';'9.21655';'41.5722';'9.21652';'41.5740';'9.21413';'41.5740';'666487-4466';'666487-4565';'666487-4568';'666487-4469';'1828622-445750-666487'
'991';'CRS3035RES200mN2052600E4256200';'LAEA200M_N10263E21281';'9.22610';'41.5722';'9.22849';'41.5723';'9.22847';'41.5741';'9.22608';'41.5741';'445750-3817';'445750-3727';'445750-3680';'445750-3768';'445750'
'993';'CRS3035RES200mN2052600E4261800';'LAEA200M_N10263E21309';'9.29298';'41.5727';'9.29537';'41.5728';'9.29535';'41.5746';'9.29296';'41.5746';'774683-1559';'774683-1628';'774683-1562';'774683-1486';'774683'
'1006';'CRS3035RES200mN2052800E4256600';'LAEA200M_N10264E21283';'9.23085';'41.5741';'9.23324';'41.5741';'9.23322';'41.5759';'9.23083';'41.5759';'445750-3372';'445750-3285';'445750-3237';'445750-3325';'445750'
'1008';'CRS3035RES200mN2052800E4261600';'LAEA200M_N10264E21308';'9.29057';'41.5745';'9.29296';'41.5746';'9.29294';'41.5764';'9.29055';'41.5763';'774683-1276';'774683-1345';'774683-1280';'774683-1207';'774683'
'1014';'CRS3035RES200mN2053000E4253600';'LAEA200M_N10265E21268';'9.19500';'41.5756';'9.19739';'41.5756';'9.19737';'41.5774';'9.19498';'41.5774';'666487-2916';'666487-3014';'666487-3032';'666487-2934';'1828622-666487'
'1022';'CRS3035RES200mN2053000E4260200';'LAEA200M_N10265E21301';'9.27383';'41.5762';'9.27622';'41.5762';'9.27619';'41.5780';'9.27381';'41.5780';'774683-863';'774683-811';'774683-725';'774683-783';'774683-536956'
'1030';'CRS3035RES200mN2053200E4258800';'LAEA200M_N10266E21294';'9.25708';'41.5779';'9.25947';'41.5779';'9.25945';'41.5797';'9.25706';'41.5797';'445750-1429';'445750-1378';'445750-1292';'445750-1346';'445750'
